"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2290","testSuccessfulLogin","the-internet.herokuapp Suite","Wed Sep 03 12:03:10 EEST 2025","passed","Wed Sep 03 12:03:12 EEST 2025","login.LoginTests","Regression Test","login.LoginTests","testSuccessfulLogin"
"","6033","testWaitUntilHidden","Default Suite","Wed Sep 10 15:37:56 EEST 2025","passed","Wed Sep 10 15:38:02 EEST 2025","wait.WaitTests","The_internet_Heroku","wait.WaitTests","testWaitUntilHidden"
"","431","testGetTextFromAlert","Default Suite","Wed Sep 10 15:37:48 EEST 2025","passed","Wed Sep 10 15:37:49 EEST 2025","alerts.AlertTests","The_internet_Heroku","alerts.AlertTests","testGetTextFromAlert"
"","856","testSelectOption","the-internet.herokuapp Suite","Wed Sep 03 12:03:19 EEST 2025","passed","Wed Sep 03 12:03:19 EEST 2025","dropdown.DropdownTests","Regression Test","dropdown.DropdownTests","testSelectOption"
"","463","testSetInputToAlert","Default Suite","Wed Sep 10 15:37:49 EEST 2025","passed","Wed Sep 10 15:37:49 EEST 2025","alerts.AlertTests","The_internet_Heroku","alerts.AlertTests","testSetInputToAlert"
"","3686","testWYSIWYGFrame","Default Suite","Wed Sep 10 15:38:23 EEST 2025","passed","Wed Sep 10 15:38:27 EEST 2025","frames.FrameTests","The_internet_Heroku","frames.FrameTests","testWYSIWYGFrame"
"","412","testPi","Default Suite","Wed Sep 10 15:38:31 EEST 2025","passed","Wed Sep 10 15:38:32 EEST 2025","keys.KeysTests","The_internet_Heroku","keys.KeysTests","testPi"
"","3031","testScrollToTable","Default Suite","Wed Sep 10 15:38:56 EEST 2025","passed","Wed Sep 10 15:38:59 EEST 2025","javascript.JavaScriptTests","The_internet_Heroku","javascript.JavaScriptTests","testScrollToTable"
"","487","testAcceptAlert","Default Suite","Sat Sep 20 21:06:21 EEST 2025","passed","Sat Sep 20 21:06:21 EEST 2025","alerts.AlertTests","The_internet_Heroku","alerts.AlertTests","testAcceptAlert"
"","1341","testSuccessfulLogin","Default Suite","Wed Sep 10 15:38:36 EEST 2025","passed","Wed Sep 10 15:38:37 EEST 2025","login.LoginTests","The_internet_Heroku","login.LoginTests","testSuccessfulLogin"
"","3862","testNavigation","Default Suite","Wed Sep 10 15:38:06 EEST 2025","passed","Wed Sep 10 15:38:10 EEST 2025","navigation.NavigationTests","The_internet_Heroku","navigation.NavigationTests","testNavigation"
"","489","testBackspace","Default Suite","Wed Sep 10 15:38:31 EEST 2025","passed","Wed Sep 10 15:38:31 EEST 2025","keys.KeysTests","The_internet_Heroku","keys.KeysTests","testBackspace"
"","518","testSelectOption","Default Suite","Wed Sep 10 15:38:49 EEST 2025","passed","Wed Sep 10 15:38:49 EEST 2025","dropdown.DropdownTests","The_internet_Heroku","dropdown.DropdownTests","testSelectOption"
"","1726","testScrollToInfiniteParagraph","Default Suite","Wed Sep 10 15:38:54 EEST 2025","passed","Wed Sep 10 15:38:55 EEST 2025","javascript.JavaScriptTests","The_internet_Heroku","javascript.JavaScriptTests","testScrollToInfiniteParagraph"
"","1786","testWYSIWYGFrame","the-internet.herokuapp Suite","Wed Sep 03 12:03:30 EEST 2025","passed","Wed Sep 03 12:03:31 EEST 2025","frames.FrameTests","Regression Test","frames.FrameTests","testWYSIWYGFrame"
